,Author ID,Paper_ID,Author_x,Affiliation,Affiliation Type,Author Last Name,Year,DOI,Author_y,AuthorOrder,AuthorOrderRank,CareerAge,CumPaper
1380,37374656400,729562,daniel bielser,"Department of Computer Science, Swiss Federal Institute of Technology, Zurich, Switzerland",Academic Institution,bielser,1998.0,10.1109/INFVIS.1998.729562,daniel bielser,3.0,Middle,1.0,1.0
1381,37370045100,729562,t strasser,"Department of Computer Science, Swiss Federal Institute of Technology, Zurich, Switzerland",Academic Institution,strasser,1998.0,10.1109/INFVIS.1998.729562,t. strasser,4.0,Last,1.0,1.0
1382,37363099200,729565,barry becker,"Silicon Graphics, Inc., Mountain View, CA, USA",Private Corporation,becker,1998.0,10.1109/INFVIS.1998.729565,barry g. becker,1.0,First,6.0,4.0
1383,37357771900,729567,t. masui,"Sony Computer Science Laboratories, Inc., Shinagawa, Tokyo, Japan",Private Corporation,masui,1998.0,10.1109/INFVIS.1998.729567,toshiyuki masui,1.0,First,13.0,1.0
1384,37373506600,729568,rohrer,"Department of EECS, George Washington University, USA",Academic Institution,,,,,,,,
1385,37282598900,729568,david s. ebert,"CSEE Department, University of Maryland Baltimore County, USA",Academic Institution,ebert,1998.0,10.1109/INFVIS.1998.729568,david s. ebert,3.0,Last,9.0,3.0
1386,37265573100,729568,john l. sibert,"Department of EECS, George Washington University, USA",Academic Institution,sibert,1998.0,10.1109/INFVIS.1998.729568,john l. sibert,2.0,Middle,17.0,1.0
1387,37374024300,729566,hansen,"Computer Science Department, University of California, Santa Cruz, USA",Academic Institution,,,,,,,,
1388,37374564600,729566,doanna meads,"Computer Science Department, University of California, Santa Cruz, USA",Academic Institution,meads,1998.0,10.1109/INFVIS.1998.729566,doanna meads,2.0,Middle,1.0,1.0
1389,37267352000,729566,alex pang,"Computer Science Department, University of California, Santa Cruz, USA",Academic Institution,pang,1998.0,10.1109/INFVIS.1998.729566,alex t. pang,3.0,Last,9.0,6.0
