Paper,Supervisee,Supervisor
10.1109/TVCG.2013.127,charilaos papadopoulos,arie e. kaufman
10.1109/TVCG.2012.210,krishna chaitanya gurijala,arie e. kaufman
10.1109/TVCG.2010.200,wei zeng 0002,arie e. kaufman
10.1109/VAST.2006.261439,susan brennan,arie e. kaufman
10.1109/TVCG.2006.153,haitao zhang,arie e. kaufman
10.1109/TVCG.2006.112,wei hong 0006,arie e. kaufman
10.1109/VISUAL.2005.1532824,jianning wang,arie e. kaufman
10.1109/VISUAL.2005.1532818,lujin wang,arie e. kaufman
10.1109/VISUAL.2004.63,sarang lakare,arie e. kaufman
10.1109/VISUAL.2004.27,nan zhang 0011,arie e. kaufman
10.1109/VISUAL.2003.1250388,wei li 0004,arie e. kaufman
10.1109/VISUAL.2003.1250359,hui xie 0001,arie e. kaufman
10.1109/VISUAL.2002.1183779,xiaoming wei,arie e. kaufman
10.1109/VISUAL.2002.1183775,ming wan,arie e. kaufman
10.1109/VISUAL.2001.964517,ming wan,arie e. kaufman
10.1109/VISUAL.2000.885702,huamin qu,arie e. kaufman
10.1109/VISUAL.2000.885674,sarang lakare,arie e. kaufman
10.1109/VISUAL.1999.809900,baoquan chen,arie e. kaufman
10.1109/VISUAL.1999.809887,kevin kreeger,arie e. kaufman
10.1109/VISUAL.1999.809872,baoquan chen,arie e. kaufman
10.1109/VISUAL.1998.745310,lichan hong,arie e. kaufman
10.1109/VISUAL.1997.663900,tzi-cker chiueh,arie e. kaufman
10.1109/VISUAL.1997.663869,yong zhou 0001,arie e. kaufman
10.1109/VISUAL.1997.663851,taosong he,arie e. kaufman
10.1109/VISUAL.1996.567603,taosong he,arie e. kaufman
10.1109/VISUAL.1995.480818,lichan hong,arie e. kaufman
10.1109/VISUAL.1995.480813,cláudio t. silva,arie e. kaufman
10.1109/VISUAL.1995.480796,xiaoyang mao,arie e. kaufman
10.1109/VISUAL.1994.346333,taosong he,arie e. kaufman
10.1109/VISUAL.1994.346319,cláudio t. silva,arie e. kaufman
10.1109/VISUAL.1993.398862,taosong he,arie e. kaufman
10.1109/VISUAL.1993.398854,sidney w. wang,arie e. kaufman
10.1109/VISUAL.1992.235231,ricardo s. avila,arie e. kaufman
10.1109/TVCG.2020.3030427,yalong yang 0001,hanspeter pfister
10.1109/TVCG.2020.3028948,fritz lekschas,hanspeter pfister
10.1109/TVCG.2019.2934555,fritz lekschas,hanspeter pfister
10.1109/TVCG.2019.2934300,michael behrisch 0001,hanspeter pfister
10.1109/TVCG.2019.2934547,robert krüger,hanspeter pfister
10.1109/TVCG.2018.2865152,ronell sicat,hanspeter pfister
10.1109/TVCG.2018.2865138,daniel haehn,hanspeter pfister
10.1109/TVCG.2017.2745978,fritz lekschas,hanspeter pfister
10.1109/TVCG.2017.2745941,benjamin bach,hanspeter pfister
10.1109/TVCG.2017.2744238,markus hadwiger,hanspeter pfister
10.1109/TVCG.2017.2744118,nam wook kim,hanspeter pfister
10.1109/TVCG.2016.2598620,nam wook kim,hanspeter pfister
10.1109/TVCG.2016.2598587,kasper dinkla,hanspeter pfister
10.1109/TVCG.2016.2598518,michail schwab,hanspeter pfister
10.1109/TVCG.2015.2467759,hendrik strobelt,hanspeter pfister
10.1109/TVCG.2014.2346371,daniel haehn,hanspeter pfister
10.1109/TVCG.2014.2346248,alexander lex,hanspeter pfister
10.1109/TVCG.2013.234,michelle borkin,hanspeter pfister
10.1109/TVCG.2013.155,michelle borkin,hanspeter pfister
10.1109/TVCG.2013.154,alexander lex,hanspeter pfister
10.1109/TVCG.2012.240,markus hadwiger,hanspeter pfister
10.1109/TVCG.2011.192,michelle borkin,hanspeter pfister
10.1109/TVCG.2010.168,won-ki jeong,hanspeter pfister
10.1109/TVCG.2010.137,miriah d. meyer,hanspeter pfister
10.1109/TVCG.2009.167,miriah d. meyer,hanspeter pfister
10.1109/TVCG.2008.186,christian ledergerber,hanspeter pfister
10.1109/TVCG.2008.154,miriah d. meyer,hanspeter pfister
10.1109/VISUAL.2005.1532827,jose de corral,hanspeter pfister
10.1109/VISUAL.2004.38,wei chen 0001,hanspeter pfister
10.1109/VISUAL.1996.568113,taosong he,hanspeter pfister
10.1109/TVCG.2020.3030420,johannes knittel,thomas ertl
10.1109/VAST.2016.7883507,florian heimerl,thomas ertl
10.1109/TVCG.2016.2599042,steffen frey,thomas ertl
10.1109/TVCG.2016.2598824,michael krone,thomas ertl
10.1109/TVCG.2015.2467871,tanja blascheck,thomas ertl
10.1109/TVCG.2015.2467621,florian heimerl,thomas ertl
10.1109/TVCG.2014.2346677,steffen koch,thomas ertl
10.1109/TVCG.2014.2346442,gustavo mello machado,thomas ertl
10.1109/TVCG.2014.2346319,steffen frey,thomas ertl
10.1109/TVCG.2013.186,harald bosch,thomas ertl
10.1109/VAST.2012.6400557,junghoon chae,thomas ertl
10.1109/TVCG.2012.284,steffen frey,thomas ertl
10.1109/TVCG.2012.282,sebastian grottel,thomas ertl
10.1109/TVCG.2012.277,florian heimerl,thomas ertl
10.1109/VAST.2009.5333564,steffen koch,thomas ertl
10.1109/TVCG.2009.157,michael krone,thomas ertl
10.1109/TVCG.2007.70614,sebastian grottel,thomas ertl
10.1109/VISUAL.2005.1532852,daniel weiskopf,thomas ertl
10.1109/VISUAL.2005.1532830,simon stegmaier,thomas ertl
10.1109/VISUAL.2005.1532799,thomas klein,thomas ertl
10.1109/VISUAL.2004.58,dirc rose,thomas ertl
10.1109/VISUAL.2004.3,simon stegmaier,thomas ertl
10.1109/VISUAL.2003.1250404,matthias hopf,thomas ertl
10.1109/VISUAL.2003.1250390,manfred weiler,thomas ertl
10.1109/VISUAL.2003.1250361,daniel weiskopf,thomas ertl
10.1109/VISUAL.2002.1183829,simon stegmaier,thomas ertl
10.1109/VISUAL.2002.1183762,daniel weiskopf,thomas ertl
10.1109/VISUAL.2001.964514,martin kraus,thomas ertl
10.1109/VISUAL.2001.964512,manfred weiler,thomas ertl
10.1109/VISUAL.2000.885688,rüdiger westermann,thomas ertl
10.1109/VISUAL.2000.885683,stefan röttger,thomas ertl
10.1109/VISUAL.1999.809934,matthias hopf,thomas ertl
10.1109/VISUAL.1999.809918,martin schulz 0005,thomas ertl
10.1109/VISUAL.1999.809892,christof rezk-salama,thomas ertl
10.1109/VISUAL.1999.809878,klaus engel,thomas ertl
10.1109/VISUAL.1998.745321,christoph lürig,thomas ertl
10.1109/VISUAL.1997.663907,roberto grosso,thomas ertl
10.1109/VISUAL.1997.663853,rüdiger westermann,thomas ertl
10.1109/TVCG.2020.3030441,harish doraiswamy,cláudio t. silva
10.1109/TVCG.2020.3030361,jorge henrique piazentin ono,cláudio t. silva
10.1109/TVCG.2020.3030333,jonathas costa,cláudio t. silva
10.1109/TVCG.2019.2934280,gromit yeuk-yin chan,cláudio t. silva
10.1109/TVCG.2019.2934668,bowen yu 0004,cláudio t. silva
10.1109/TVCG.2017.2743980,alexander bock,cláudio t. silva
10.1109/TVCG.2016.2598585,fabio miranda 0001,cláudio t. silva
10.1109/TVCG.2016.2598497,bowen yu 0004,cláudio t. silva
10.1109/VAST.2015.7347636,nivan ferreira,cláudio t. silva
10.1109/SciVis.2015.7429486,jorge poco,cláudio t. silva
10.1109/VAST.2014.7042478,carlos a. dietrich,cláudio t. silva
10.1109/TVCG.2014.2346755,jorge poco,cláudio t. silva
10.1109/TVCG.2014.2346753,bowen yu 0004,cláudio t. silva
10.1109/TVCG.2014.2346449,harish doraiswamy,cláudio t. silva
10.1109/TVCG.2013.226,nivan ferreira,cláudio t. silva
10.1109/TVCG.2011.176,nivan ferreira,cláudio t. silva
10.1109/TVCG.2010.185,claurissa tuttle,cláudio t. silva
10.1109/TVCG.2010.170,joel daniels ii,cláudio t. silva
10.1109/TVCG.2009.195,emanuele santos,cláudio t. silva
10.1109/TVCG.2009.194,tiago etiene,cláudio t. silva
10.1109/TVCG.2008.174,david koop,cláudio t. silva
10.1109/TVCG.2008.160,carlos scheidegger,cláudio t. silva
10.1109/TVCG.2008.122,carlos a. dietrich,cláudio t. silva
10.1109/TVCG.2007.70584,carlos scheidegger,cláudio t. silva
10.1109/TVCG.2006.171,steven p. callahan,cláudio t. silva
10.1109/TVCG.2006.149,john m. schreiner,cláudio t. silva
10.1109/VISUAL.2005.1532796,steven p. callahan,cláudio t. silva
10.1109/VISUAL.2001.964534,jihad el-sana,cláudio t. silva
10.1109/VISUAL.2001.964502,peter lindstrom,cláudio t. silva
10.1109/VISUAL.2001.964489,marc alexa,cláudio t. silva
10.1109/VISUAL.1999.809875,james t. klosowski,cláudio t. silva
10.1109/VISUAL.1999.809870,andré guéziec,cláudio t. silva
10.1109/VISUAL.1997.663895,yi-jen chiang,cláudio t. silva
10.1109/TVCG.2020.3030386,philipp meschenmoser,daniel a. keim
10.1109/VAST.2018.8802486,michael blumenschein,daniel a. keim
10.1109/TVCG.2018.2865049,juri buchmüller,daniel a. keim
10.1109/TVCG.2017.2745181,manuel stein,daniel a. keim
10.1109/TVCG.2017.2744805,dominik sacha,daniel a. keim
10.1109/TVCG.2016.2598495,dominik sacha,daniel a. keim
10.1109/TVCG.2015.2467591,dominik sacha,daniel a. keim
10.1109/TVCG.2015.2467553,dominik jäckle,daniel a. keim
10.1109/TVCG.2014.2346481,dominik sacha,daniel a. keim
10.1109/VAST.2012.6400554,leishi zhang,daniel a. keim
10.1109/VAST.2012.6400488,andrada tatu,daniel a. keim
10.1109/TVCG.2011.179,milos krstajic,daniel a. keim
10.1109/VAST.2010.5652530,hartmut ziegler,daniel a. keim
10.1109/VAST.2010.5652926,daniela oelke,daniel a. keim
10.1109/VAST.2009.5332628,andrada tatu,daniel a. keim
10.1109/TVCG.2009.182,peter bak,daniel a. keim
10.1109/VAST.2006.261423,jörn schneidewind,daniel a. keim
10.1109/VISUAL.1999.809930,eleftherios koutsofios,daniel a. keim
10.1109/INFVIS.1998.729559,mihael ankerst,daniel a. keim
10.1109/TVCG.2020.3030473,liang zhou 0001,daniel weiskopf
10.1109/TVCG.2019.2934669,haris mumtaz,daniel weiskopf
10.1109/TVCG.2018.2865266,yunhai wang,daniel weiskopf
10.1109/TVCG.2017.2744018,nils rodrigues,daniel weiskopf
10.1109/VAST.2016.7883520,tanja blascheck,daniel weiskopf
10.1109/TVCG.2016.2598919,christoph schulz,daniel weiskopf
10.1109/TVCG.2016.2598898,rudolf netzel,daniel weiskopf
10.1109/TVCG.2016.2598695,kuno kurzhals,daniel weiskopf
10.1109/TVCG.2015.2468091,kuno kurzhals,daniel weiskopf
10.1109/TVCG.2015.2467757,fabian beck 0001,daniel weiskopf
10.1109/TVCG.2014.2346420,rudolf netzel,daniel weiskopf
10.1109/TVCG.2014.2346333,marco ament,daniel weiskopf
10.1109/TVCG.2013.129,marco ament,daniel weiskopf
10.1109/TVCG.2013.232,corinna vehlow,daniel weiskopf
10.1109/TVCG.2013.194,kuno kurzhals,daniel weiskopf
10.1109/TVCG.2012.276,gennady l. andrienko,daniel weiskopf
10.1109/TVCG.2012.222,markus höferlin,daniel weiskopf
10.1109/TVCG.2011.226,michael burch,daniel weiskopf
10.1109/TVCG.2011.203,marcel hlawatsch,daniel weiskopf
10.1109/TVCG.2011.193,michael burch,daniel weiskopf
10.1109/TVCG.2010.196,thomas müller 0005,daniel weiskopf
10.1109/TVCG.2009.131,julian heinrich,daniel weiskopf
10.1109/TVCG.2008.119,sven bachthaler,daniel weiskopf
10.1109/VISUAL.2005.1532853,ralf p. botchen,daniel weiskopf
10.1109/TVCG.2020.3030470,ingo wald,valerio pascucci
10.1109/TVCG.2020.3030363,torin mcdonald,valerio pascucci
10.1109/TVCG.2020.3030381,duong hoang,valerio pascucci
10.1109/TVCG.2019.2934257,pavol klacansky,valerio pascucci
10.1109/TVCG.2019.2934620,steve petruzza,valerio pascucci
10.1109/TVCG.2018.2864853,duong hoang,valerio pascucci
10.1109/TVCG.2018.2864848,attila gyulassy,valerio pascucci
10.1109/TVCG.2017.2745141,shusen liu,valerio pascucci
10.1109/TVCG.2017.2744079,william usher,valerio pascucci
10.1109/TVCG.2016.2599040,kui wu 0003,valerio pascucci
10.1109/TVCG.2015.2467432,attila gyulassy,valerio pascucci
10.1109/TVCG.2014.2346434,attila gyulassy,valerio pascucci
10.1109/TVCG.2013.174,atul rungta,valerio pascucci
10.1109/TVCG.2012.286,aaditya g. landge,valerio pascucci
10.1109/TVCG.2012.228,julien tierny,valerio pascucci
10.1109/TVCG.2012.209,attila gyulassy,valerio pascucci
10.1109/TVCG.2009.163,julien tierny,valerio pascucci
10.1109/TVCG.2008.110,attila gyulassy,valerio pascucci
10.1109/TVCG.2007.70601,gunther h. weber,valerio pascucci
10.1109/TVCG.2006.186,david e. laney,valerio pascucci
10.1109/VISUAL.2004.68,herbert edelsbrunner,valerio pascucci
10.1109/VISUAL.2003.1250365,peer-timo bremer,valerio pascucci
10.1109/VISUAL.2001.964533,peter lindstrom,valerio pascucci
10.1109/VISUAL.2000.885724,ariel shamir,valerio pascucci
10.1109/TVCG.2020.3030383,jan zahálka,jarke j. van wijk
10.1109/TVCG.2018.2865043,dennis dingen,jarke j. van wijk
10.1109/TVCG.2017.2745278,bram c. m. cappers,jarke j. van wijk
10.1109/TVCG.2015.2468078,stef van den elzen,jarke j. van wijk
10.1109/TVCG.2015.2467112,roeland scheepens,jarke j. van wijk
10.1109/TVCG.2014.2346441,stef van den elzen,jarke j. van wijk
10.1109/TVCG.2014.2346437,paul van der corput,jarke j. van wijk
10.1109/TVCG.2012.208,kasper dinkla,jarke j. van wijk
10.1109/VAST.2011.6102453,stef van den elzen,jarke j. van wijk
10.1109/TVCG.2011.201,jarry h. t. claessen,jarke j. van wijk
10.1109/TVCG.2011.181,roeland scheepens,jarke j. van wijk
10.1109/TVCG.2006.192,a. johannes pretorius,jarke j. van wijk
10.1109/VISUAL.2005.1532779,bart moberts,jarke j. van wijk
10.1109/INFVIS.2004.43,frank van ham,jarke j. van wijk
10.1109/INFVIS.2004.25,lucian voinea,jarke j. van wijk
10.1109/VISUAL.2003.1250377,alexandru telea,jarke j. van wijk
10.1109/INFVIS.2002.1173153,frank van ham,jarke j. van wijk
10.1109/INFVIS.2001.963285,ernst kleiberg,jarke j. van wijk
10.1109/INFVIS.2001.963281,frank van ham,jarke j. van wijk
10.1109/VISUAL.2000.885715,harald garcke,jarke j. van wijk
10.1109/VISUAL.1999.809865,alexandru telea,jarke j. van wijk
10.1109/VISUAL.1998.745323,jurriaan d. mulder,jarke j. van wijk
10.1109/VISUAL.1995.485143,jurriaan d. mulder,jarke j. van wijk
10.1109/VISUAL.1995.480817,wim c. de leeuw,jarke j. van wijk
10.1109/VISUAL.1993.398849,wim c. de leeuw,jarke j. van wijk
10.1109/TVCG.2017.2744099,subhashis hazarika,han-wei shen
10.1109/VAST.2016.7883513,xiaotong liu,han-wei shen
10.1109/TVCG.2016.2599049,xin tong,han-wei shen
10.1109/TVCG.2016.2598869,ayan biswas,han-wei shen
10.1109/TVCG.2015.2467436,soumya dutta,han-wei shen
10.1109/TVCG.2015.2467431,xiaotong liu,han-wei shen
10.1109/TVCG.2013.152,teng-yok lee,han-wei shen
10.1109/TVCG.2011.219,boonthanome nouanesengsy,han-wei shen
10.1109/TVCG.2010.131,lijie xu,han-wei shen
10.1109/TVCG.2009.200,teng-yok lee,han-wei shen
10.1109/TVCG.2008.114,ying tu,han-wei shen
10.1109/TVCG.2007.70529,ying tu,han-wei shen
10.1109/TVCG.2006.164,jonathan woodring,han-wei shen
10.1109/TVCG.2006.159,chaoli wang 0001,han-wei shen
10.1109/TVCG.2006.137,guangfeng ji,han-wei shen
10.1109/VISUAL.2005.1532833,udeepta bordoloi,han-wei shen
10.1109/VISUAL.2003.1250402,jonathan woodring,han-wei shen
10.1109/VISUAL.2003.1250378,guo-shi li,han-wei shen
10.1109/VISUAL.2003.1250373,udeepta bordoloi,han-wei shen
10.1109/VAST50239.2020.00012,guizhen wang,david s. ebert
10.1109/TVCG.2019.2934266,mosab khayat,david s. ebert
10.1109/TVCG.2019.2934603,jieqiong zhao,david s. ebert
10.1109/TVCG.2019.2934614,luke s. snyder,david s. ebert
10.1109/TVCG.2018.2864499,jiawei zhang 0003,david s. ebert
10.1109/VAST.2016.7883514,jing xia,david s. ebert
10.1109/VAST.2014.7042484,sungahn ko,david s. ebert
10.1109/TVCG.2014.2346926,abish malik,david s. ebert
10.1109/TVCG.2014.2346911,sungahn ko,david s. ebert
10.1109/TVCG.2012.264,shehzad afzal,david s. ebert
10.1109/VAST.2011.6102460,abish malik,david s. ebert
10.1109/VAST.2011.6102457,shehzad afzal,david s. ebert
10.1109/VAST.2009.5333920,stephen rudolph,david s. ebert
10.1109/TVCG.2009.185,ross maciejewski,david s. ebert
10.1109/VAST.2008.4677363,anya samak,david s. ebert
10.1109/VAST.2008.4677354,ross maciejewski,david s. ebert
10.1109/TVCG.2006.117,yuyan song,david s. ebert
10.1109/VISUAL.2005.1532854,aidong lu,david s. ebert
10.1109/VISUAL.2004.85,martin kraus,david s. ebert
10.1109/VISUAL.2002.1183764,joe michael kniss,david s. ebert
10.1109/INFVIS.1998.729568,randall m. rohrer,david s. ebert
10.1109/VAST50239.2020.00011,zhiguang zhou,wei chen 0001
10.1109/TVCG.2020.3030410,wei zeng 0002,wei chen 0001
10.1109/TVCG.2020.3030440,zhiguang zhou,wei chen 0001
10.1109/TVCG.2019.2934655,ying zhao 0001,wei chen 0001
10.1109/TVCG.2019.2934208,yating wei,wei chen 0001
10.1109/TVCG.2018.2865041,yingcai wu,wei chen 0001
10.1109/TVCG.2018.2865020,ying zhao 0001,wei chen 0001
10.1109/TVCG.2018.2864503,zhiguang zhou,wei chen 0001
10.1109/TVCG.2016.2598664,panpan xu,wei chen 0001
10.1109/SciVis.2015.7429488,hongsen liao,wei chen 0001
10.1109/TVCG.2020.3030389,juraj pálenik,helwig hauser
10.1109/TVCG.2019.2934258,juraj pálenik,helwig hauser
10.1109/TVCG.2016.2598870,ivan kolesár,helwig hauser
10.1109/TVCG.2016.2598470,cagatay turkay,helwig hauser
10.1109/VAST.2015.7347635,rainer splechtna,helwig hauser
10.1109/TVCG.2013.184,bilal alsallakh,helwig hauser
10.1109/TVCG.2012.256,cagatay turkay,helwig hauser
10.1109/TVCG.2011.235,paolo angelelli,helwig hauser
10.1109/TVCG.2011.178,cagatay turkay,helwig hauser
10.1109/TVCG.2010.171,kresimir matkovic,helwig hauser
10.1109/TVCG.2009.155,kresimir matkovic,helwig hauser
10.1109/TVCG.2009.136,ove daae lampe,helwig hauser
10.1109/TVCG.2008.145,kresimir matkovic,helwig hauser
10.1109/TVCG.2008.144,wolfgang freiler,helwig hauser
10.1109/TVCG.2008.139,johannes kehrer,helwig hauser
10.1109/TVCG.2007.70588,philipp muigg,helwig hauser
10.1109/TVCG.2007.70517,ove daae lampe,helwig hauser
10.1109/TVCG.2006.170,matej novotny,helwig hauser
10.1109/INFVIS.2005.1532139,fabian bendix,helwig hauser
10.1109/VISUAL.2004.59,robert s. laramee,helwig hauser
10.1109/VISUAL.2003.1250417,zoltan konyha,helwig hauser
10.1109/VISUAL.2003.1250386,markus hadwiger,helwig hauser
10.1109/VISUAL.2003.1250364,robert s. laramee,helwig hauser
10.1109/VISUAL.2001.964522,lukas mroz,helwig hauser
10.1109/INFVIS.2001.963286,robert kosara,helwig hauser
10.1109/VAST47406.2019.8986923,anjul tyagi,klaus mueller
10.1109/TVCG.2018.2865026,cong xie,klaus mueller
