Top VISPub Authors,Year,Supervisee,Reference
hanspeter pfister,2017,john hoffer,https://scholar.google.com/citations?user=pUERNdkAAAAJ&hl=en&oi=ao
hanspeter pfister,2021,won-dong jang,https://wdjang.github.io/
hanspeter pfister,2018,won-ki jeong,https://vcg.seas.harvard.edu/people
hanspeter pfister,2017,thouis (ray) jones,https://vcg.seas.harvard.edu/people
hanspeter pfister,2015,verena kaynig-fittkau,https://vcg.seas.harvard.edu/people
hanspeter pfister,2016,steffen kirchhoff,https://dl.acm.org/profile/81548030172
hanspeter pfister,2013,seymour knowles-barley,https://scholar.google.com/citations?hl=en&user=18Z50V8AAAAJ&view_op=list_works&sortby=pubdate
hanspeter pfister,2011,ritwik kumar,https://scholar.google.com/citations?hl=en&user=1nLn7pcAAAAJ&view_op=list_works&sortby=pubdate
hanspeter pfister,2021,fritz lekschas,https://scholar.google.com/citations?hl=en&user=v1_FiEgAAAAJ&view_op=list_works&sortby=pubdate
hanspeter pfister,2021,alexander lex,https://scholar.google.com/citations?hl=en&user=JFNLCUcAAAAJ&view_op=list_works&sortby=pubdate
hanspeter pfister,2021,zudi lin,https://scholar.google.com/citations?hl=en&user=xYh5BEIAAAAJ&view_op=list_works&sortby=pubdate
hanspeter pfister,2019,brian matejek,https://scholar.google.com/citations?hl=en&user=MQUh4rsAAAAJ&view_op=list_works&sortby=pubdate
hanspeter pfister,2010,miriah meyer,https://scholar.google.com/citations?hl=en&user=JAHNN7AAAAAJ&view_op=list_works&sortby=pubdate
hanspeter pfister,2021,carolina nobre,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C22&q=Carolina+Nobre+pfister&btnG=
hanspeter pfister,2016,adi (suissa) peleg,https://vcg.seas.harvard.edu/publications/automatic-neural-reconstruction-from-petavoxel-of-electron-microscopy-data
hanspeter pfister,2013,amanda peters randles,https://scholar.google.com/citations?hl=en&user=CSrcYkIAAAAJ&view_op=list_works&sortby=pubdate
hanspeter pfister,2014,fangyang shen,https://scholar.google.com/citations?hl=en&user=xq8xDHAAAAAJ&view_op=list_works&sortby=pubdate
hanspeter pfister,2018,ronell sicat,https://scholar.google.com/citations?hl=en&user=qRjZkc4AAAAJ&view_op=list_works&sortby=pubdate
hanspeter pfister,2021,hendrik strobelt,https://scholar.google.com/citations?hl=en&user=H4vEe_oAAAAJ&view_op=list_works&sortby=pubdate
hanspeter pfister,2017,deqing sun,https://scholar.google.com/citations?hl=en&user=t4rgICIAAAAJ&view_op=list_works&sortby=pubdate
hanspeter pfister,2017,kalyan sunkavalli,https://scholar.google.com/citations?hl=en&user=j7uL6VEAAAAJ&view_op=list_works&sortby=pubdate
hanspeter pfister,2018,james tompkin,https://scholar.google.com/citations?hl=en&user=Ex3pgLAAAAAJ&view_op=list_works&sortby=pubdate
thomas ertl,2021,valentin bruder,https://www.visus.uni-stuttgart.de/documentcenter/Mitarbeiter-Material/Ertl-Thomas/Diss-list_2022.pdf
thomas ertl,2021,markus john,https://www.visus.uni-stuttgart.de/documentcenter/Mitarbeiter-Material/Ertl-Thomas/Diss-list_2022.pdf
thomas ertl,2019,dominik herr,https://www.visus.uni-stuttgart.de/documentcenter/Mitarbeiter-Material/Ertl-Thomas/Diss-list_2022.pdf
thomas ertl,2018,finian mwalongo,https://www.visus.uni-stuttgart.de/documentcenter/Mitarbeiter-Material/Ertl-Thomas/Diss-list_2022.pdf
thomas ertl,2017,grzegorz karch,https://www.visus.uni-stuttgart.de/documentcenter/Mitarbeiter-Material/Ertl-Thomas/Diss-list_2022.pdf
thomas ertl,2017,tanja blascheck,https://www.visus.uni-stuttgart.de/documentcenter/Mitarbeiter-Material/Ertl-Thomas/Diss-list_2022.pdf
thomas ertl,2017,robert kruger,https://www.visus.uni-stuttgart.de/documentcenter/Mitarbeiter-Material/Ertl-Thomas/Diss-list_2022.pdf
thomas ertl,2016,florian heimerl,https://www.visus.uni-stuttgart.de/documentcenter/Mitarbeiter-Material/Ertl-Thomas/Diss-list_2022.pdf
thomas ertl,2016,florian haag,https://www.visus.uni-stuttgart.de/documentcenter/Mitarbeiter-Material/Ertl-Thomas/Diss-list_2022.pdf
thomas ertl,2015,michael krone,https://www.visus.uni-stuttgart.de/documentcenter/Mitarbeiter-Material/Ertl-Thomas/Diss-list_2022.pdf
thomas ertl,2015,alexandros panagiotidis,https://www.visus.uni-stuttgart.de/documentcenter/Mitarbeiter-Material/Ertl-Thomas/Diss-list_2022.pdf
thomas ertl,2015,michael raschke,https://www.visus.uni-stuttgart.de/documentcenter/Mitarbeiter-Material/Ertl-Thomas/Diss-list_2022.pdf
thomas ertl,2015,daniel kauker,https://www.visus.uni-stuttgart.de/documentcenter/Mitarbeiter-Material/Ertl-Thomas/Diss-list_2022.pdf
thomas ertl,2015,dennis thom,https://www.visus.uni-stuttgart.de/documentcenter/Mitarbeiter-Material/Ertl-Thomas/Diss-list_2022.pdf
thomas ertl,2015,gustavo machado mellero,https://www.visus.uni-stuttgart.de/documentcenter/Mitarbeiter-Material/Ertl-Thomas/Diss-list_2022.pdf
thomas ertl,2015,bernhard schmitz,https://www.visus.uni-stuttgart.de/documentcenter/Mitarbeiter-Material/Ertl-Thomas/Diss-list_2022.pdf
thomas ertl,2014,harald bosch,https://www.visus.uni-stuttgart.de/documentcenter/Mitarbeiter-Material/Ertl-Thomas/Diss-list_2022.pdf
thomas ertl,2014,steffen frey,https://www.visus.uni-stuttgart.de/documentcenter/Mitarbeiter-Material/Ertl-Thomas/Diss-list_2022.pdf
thomas ertl,2014,michael worner,https://www.visus.uni-stuttgart.de/documentcenter/Mitarbeiter-Material/Ertl-Thomas/Diss-list_2022.pdf
thomas ertl,2013,markus uffinger,https://www.visus.uni-stuttgart.de/documentcenter/Mitarbeiter-Material/Ertl-Thomas/Diss-list_2022.pdf
thomas ertl,2013,martin falk,https://www.visus.uni-stuttgart.de/documentcenter/Mitarbeiter-Material/Ertl-Thomas/Diss-list_2022.pdf
thomas ertl,2012,steffen koch,https://www.visus.uni-stuttgart.de/documentcenter/Mitarbeiter-Material/Ertl-Thomas/Diss-list_2022.pdf
thomas ertl,2012,mark giereth,https://www.visus.uni-stuttgart.de/documentcenter/Mitarbeiter-Material/Ertl-Thomas/Diss-list_2022.pdf
thomas ertl,2012,sebastian grottel,https://www.visus.uni-stuttgart.de/documentcenter/Mitarbeiter-Material/Ertl-Thomas/Diss-list_2022.pdf
thomas ertl,2011,philipp heim,https://www.visus.uni-stuttgart.de/documentcenter/Mitarbeiter-Material/Ertl-Thomas/Diss-list_2022.pdf
thomas ertl,2011,christiane taras,https://www.visus.uni-stuttgart.de/documentcenter/Mitarbeiter-Material/Ertl-Thomas/Diss-list_2022.pdf
thomas ertl,2010,katrin bidmon,https://www.visus.uni-stuttgart.de/documentcenter/Mitarbeiter-Material/Ertl-Thomas/Diss-list_2022.pdf
thomas ertl,2010,mike eissele,https://www.visus.uni-stuttgart.de/documentcenter/Mitarbeiter-Material/Ertl-Thomas/Diss-list_2022.pdf
thomas ertl,2010,magnus strengert,https://www.visus.uni-stuttgart.de/documentcenter/Mitarbeiter-Material/Ertl-Thomas/Diss-list_2022.pdf
thomas ertl,2009,sabine iserhardt-bauer,https://www.visus.uni-stuttgart.de/documentcenter/Mitarbeiter-Material/Ertl-Thomas/Diss-list_2022.pdf
thomas ertl,2008,friedemann rossler,https://www.visus.uni-stuttgart.de/documentcenter/Mitarbeiter-Material/Ertl-Thomas/Diss-list_2022.pdf
thomas ertl,2008,ralf botchen,https://www.visus.uni-stuttgart.de/documentcenter/Mitarbeiter-Material/Ertl-Thomas/Diss-list_2022.pdf
thomas ertl,2008,klein thomas,https://www.visus.uni-stuttgart.de/documentcenter/Mitarbeiter-Material/Ertl-Thomas/Diss-list_2022.pdf
thomas ertl,2008,guido reina,https://www.visus.uni-stuttgart.de/documentcenter/Mitarbeiter-Material/Ertl-Thomas/Diss-list_2022.pdf
thomas ertl,2008,eduardo tejada,https://www.visus.uni-stuttgart.de/documentcenter/Mitarbeiter-Material/Ertl-Thomas/Diss-list_2022.pdf
thomas ertl,2006,simon stegmaier,https://www.visus.uni-stuttgart.de/documentcenter/Mitarbeiter-Material/Ertl-Thomas/Diss-list_2022.pdf
thomas ertl,2006,dirc rose,https://www.visus.uni-stuttgart.de/documentcenter/Mitarbeiter-Material/Ertl-Thomas/Diss-list_2022.pdf
